input,word_1,word_2,word_3,word_4,pos_1,pos_2,pos_3,pos_4,def_1,def_2,def_3,def_4,sent_1,sent_2,sent_3,sent_4,ipa,pic,speech
inouï,"INOUÏ, -ÏE,","Inouïsme,",,,adj.,"subst. masc.,",,,Qu'on n'a jamais entendu auparavant.,Caractère de ce qui est inouï; étrangeté.,,,"Une modulation (...) certainement inouïe à cette époque (D'Indy, Compos. mus., t. 2, 1, 1897-1900, p. 227):","C'était avant le Romantisme, Aux poètes étincelants Dont les vers sont tous ruisselants De fantaisie et d'inouïsme (Marteau, Satires,1861, p. 265).",,,\i.nwi\,,//upload.wikimedia.org/wikipedia/commons/transcoded/a/ab/LL-Q150_%28fra%29-Lyoko%C3%AF-inou%C3%AF.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-inou%C3%AF.wav.mp3
lover,"LOVER,","Loveur,",,,verbe trans.,"subst. masc.,",,,"Rouler en cercles, généralement superposés, pour ranger ou disposer quelque chose prêt à servir.",Matelot qui love les palangres ou les filets de pêche à bord d'un navire. (Dict. xixeet xxes.).,,,"Une grosse barque, dont le patron love une amarre (Arts et litt.,1935, p. 84-8).",,,,\lɔ.ve\,//upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Coastal-Taipan.jpg/220px-Coastal-Taipan.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/2/24/LL-Q150_%28fra%29-LoquaxFR-lover.wav/LL-Q150_%28fra%29-LoquaxFR-lover.wav.mp3
niais,"NIAIS, NIAISE,","Niaiseux, -euse,","Niaisot, -otte,","Niaisement,",adj. et subst.,"adj. et subst.,","adj. et subst.,",adv.,"Qui est encore au nid, qui ne sait pas voler.",diminutif de niaiseux (sens I B et II).,diminutif de niaiseux (sens I B et II).,D'une façon niaise.,"Si Mercanson était un méchant homme, s'il était niais ou rusé, je ne l'ai jamais distingué clairement (Musset,Confess. enf. s.,1836, p.228).","Le premier jour, je regardai des joueurs de golf qui poursuivaient de petites balles blanches au moyen de cannes curieuses. Je trouvai cela niaiseux (V.-L. Beaulieu, Mémoires d'Outre-tonneau,Montréal, éd. Estérel, 1968, p.154).","Elle avait des manières mignardes, précieuses, niaisottes; elle jouait la fillette (Rolland,J.-Chr.,Foire, 1908, p.732).","Homme puéril, rêveur niaisement vertueux (Sand,Lélia,1833, p.261).",\njɛ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/c/cc/LL-Q150_%28fra%29-DSwissK-niais.wav/LL-Q150_%28fra%29-DSwissK-niais.wav.mp3
fente,"FENTE,",,,,subst. fém.,,,,Action de fendre.,,,,"Le bois du châtaignier est élastique (...) et bon pour la fente (Baudrillart, Nouv. manuel forest., t. 1, 1808, p. 62).",,,,\fɑ̃t\,//upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Montmarin-FR-08-chapelle-ma%C3%A7onnerie-03.jpg/220px-Montmarin-FR-08-chapelle-ma%C3%A7onnerie-03.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/6/6a/LL-Q150_%28fra%29-Harmonia_Amanda-fente.wav/LL-Q150_%28fra%29-Harmonia_Amanda-fente.wav.mp3
soulier,"SOULIER,",,,,subst. masc.,,,,Chaussure à tige basse et à semelle rigide qui couvre le pied ou une partie du pied.,,,,"Ses forts souliers se nouaient avec des cordons de cuir (Balzac, E. Grandet, 1834, p. 20).",,,,\su.(l)je\,//upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Mens%27_ballroom_shoes%2C_Eurodance_CZ.jpg/220px-Mens%27_ballroom_shoes%2C_Eurodance_CZ.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/0/0b/Fr-soulier.ogg/Fr-soulier.ogg.mp3
goupille,"GOUPILLE,",,,,subst. fém.,,,,Cheville métallique servant à assembler deux pièces percées chacune d'un trou.,,,,"Avec des goupilles rivées sur des rosettes en métal, on fait tenir l'extrémité arrondie de chacune des gouttières au bas du montant (Nosban, Manuel menuisier,1857, p. 9) :",,,,\ɡu.pij\,,//upload.wikimedia.org/wikipedia/commons/transcoded/d/da/Fr-goupille.ogg/Fr-goupille.ogg.mp3
brûle-pourpoint,"BRÛLE-POURPOINT (À),",,,,loc. adv.,,,,"De très près, à bout portant :",,,,"1. C'est une effroyable et admirable chose qu'un incendie vu à brûle-pourpoint.
Hugo, Le Rhin,1842, p. 150.",,,,\bʁyl puʁ.pwɛ̃\,,//upload.wikimedia.org/wikipedia/commons/transcoded/2/2b/LL-Q150_%28fra%29-Lepticed7-br%C3%BBle-pourpoint.wav/LL-Q150_%28fra%29-Lepticed7-br%C3%BBle-pourpoint.wav.mp3
affublé,"AFFUBLER,",,,,verbe trans.,,,,Vêtir avec un certain apparat.,,,,"1. À peine eurent-ils endossé l'habit national, qu'ils s'admirèrent dans ce nouvel accoutrement; le plus mince artisan affublé d'un uniforme regardait avec dédain son confrère en habit bourgeois.
Marat, Les Pamphlets,Appel à la Nation, 1790, p. 160.",,,,\a.fy.ble\,,//upload.wikimedia.org/wikipedia/commons/transcoded/e/ec/LL-Q150_%28fra%29-Penegal-affubl%C3%A9.wav/LL-Q150_%28fra%29-Penegal-affubl%C3%A9.wav.mp3
dédommager,"DÉDOMMAGER,",,,,verbe trans.,,,,"Indemniser quelqu'un en lui donnant, en guise de compensation, l'équivalent d'un dommage, d'un préjudice subi ou d'un travail effectué.",,,,"Vous le dédommagerez par quelques écus (Stendhal, Rouge et Noir,1830, p. 129).",,,,\de.dɔ.ma.ʒe\,,//upload.wikimedia.org/wikipedia/commons/transcoded/d/d8/LL-Q150_%28fra%29-Lyoko%C3%AF-d%C3%A9dommager.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-d%C3%A9dommager.wav.mp3
redouter,"REDOUTER,",,,,verbe trans.,,,,Craindre fortement quelqu'un ou quelque chose; appréhender (quelque chose à venir) avec angoisse.,,,,"C'est au pécheur tremblant, c'est au coupable épouvanté de redouter la mort (Dumas père, Intrigue et amour, 1847, V, tabl. 9, 2, p. 291).",,,,\ʁə.du.te\,,//upload.wikimedia.org/wikipedia/commons/transcoded/a/ab/Fr-redouter.ogg/Fr-redouter.ogg.mp3
remémorer,"REMÉMORER,","Remémorateur, -trice,","Remémoratif, -tive,",,verbe trans.,"adj.,","adj.,",,Remettre en mémoire.,Qui conserve le souvenir.,Qui rappelle un fait et en perpétue le souvenir.,,"[Daudet] remémorait ses joies intérieures dans les grandes plaines de la Camargue (Goncourt, Journal, 1888, p. 803).","Et cependant des mains françaises avaient abattu la tête de son frère et percé le cœur de son fils; tant ces mains ont été pour lui remémoratrices et implacables! (Chateaubr., Mém., t. 4, 1848, p. 228).","Ainsi le baptême est le symbole de la mort du Christ: sous cet aspect, les sacrements sont remémoratifs (Théol. cath.t. 14, 11939, p. 498).",,\ʁə.me.mɔ.ʁe\,,//upload.wikimedia.org/wikipedia/commons/transcoded/9/9c/LL-Q150_%28fra%29-Lyoko%C3%AF-rem%C3%A9morer.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-rem%C3%A9morer.wav.mp3
chambouler,"CHAMBOULER,",,,,verbe.,,,,"Bouleverser, renverser, mettre sens dessus dessous.",,,,"Il (...) secoue ses fringues, chamboule sa literie (Genevoix, La Boue,1921, p. 44).",,,,\ʃɑ̃.bu.le\,,//upload.wikimedia.org/wikipedia/commons/transcoded/c/c0/LL-Q150_%28fra%29-Penegal-chambouler.wav/LL-Q150_%28fra%29-Penegal-chambouler.wav.mp3
carambolage,"CARAMBOLAGE,",,,,subst. masc.,,,,Coup qui consiste à toucher successivement deux billes (la rouge et celle de l'adversaire) avec la sienne.,,,,"Anatole avait ce soir-là un jeu étourdissant; il fit des séries de carambolages interminables [au billard] (E. et J. de Goncourt, Manette Salomon,1867, p. 86).",,,,\ka.ʁɑ̃.bɔ.laʒ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/6/61/LL-Q150_%28fra%29-0x010C-carambolage.wav/LL-Q150_%28fra%29-0x010C-carambolage.wav.mp3
accoutré,"ACCOUTRER,",,,,verbe trans.,,,,"Arranger des vêtements, vêtir des pers. avec un soin ou une élégance recherchées.",,,,"1. Il y avait en effet du beau linge bien net, et des habits si proprement accoutrés qu'on les aurait crus faits à ma taille.
Ch. Nodier, La Fée aux miettes,1831, p. 88.",,,,\a.ku.tʁe\,,//upload.wikimedia.org/wikipedia/commons/transcoded/f/fd/LL-Q150_%28fra%29-Lepticed7-accoutr%C3%A9.wav/LL-Q150_%28fra%29-Lepticed7-accoutr%C3%A9.wav.mp3
impudique,"IMPUDIQUE,","Impudiquement,",,,adj.,adv.,,,Dont le comportement outrage la morale sexuelle établie.,D'une manière qui outrage la morale sexuelle.,,,"Les bateleurs viennent y faire leurs tours grossiers et y montrent des singes impudiques du Sennaar, au grand scandale des ladies puritaines (Du Camp, Nil,1854, p. 29).","Un Japonais (...) palpait avec une inattention polie un bras de boxeur qu'une brune, assise près de lui, étalait impudiquement sur la nappe (Martin du G., Thib., Belle sais., 1923, p. 1004).",,,\ɛ̃.py.dik\,,//upload.wikimedia.org/wikipedia/commons/transcoded/0/06/LL-Q150_%28fra%29-DSwissK-impudique.wav/LL-Q150_%28fra%29-DSwissK-impudique.wav.mp3
véreux,"VÉREUX, -EUSE,",,,,adj.,,,,Qui contient un ver; qui est gâté par des vers.,,,,"L'odeur amère et froide des petites noix véreuses qui choient sur le gazon (Colette, Mais. Cl., 1922, p. 75).",,,,\ve.ʁø\,,//upload.wikimedia.org/wikipedia/commons/transcoded/f/f9/Fr-v%C3%A9reux.ogg/Fr-v%C3%A9reux.ogg.mp3
cocufier,"COCUFIER,",,,,verbe trans.,,,,"Tromper, faire cocu.",,,,"Cocufier un pharmacien (Flaubert, Correspondance,1877, p. 27):",,,,\ko.ky.fje\,,//upload.wikimedia.org/wikipedia/commons/transcoded/e/e8/LL-Q150_%28fra%29-Lyoko%C3%AF-cocufier.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-cocufier.wav.mp3
décacheter,"DÉCACHETER,",,,,verbe trans.,,,,Ouvrir ce qui est fermé par un cachet.,,,,"Après avoir décacheté (...) l'enveloppe scellée à la cire rouge (Maupass., Contes et nouv.,t. 1, Le Testament, 1882, p. 664).",,,,\de.kaʃ.te\,,//upload.wikimedia.org/wikipedia/commons/transcoded/c/c3/LL-Q150_%28fra%29-Lyoko%C3%AF-d%C3%A9cacheter.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-d%C3%A9cacheter.wav.mp3
chausser,"CHAUSSER,","Chausseur,",,,verbe trans.,subst. masc.,,,Mettre à ses pieds.,Fabricant ou marchand de chaussures (cf. bottier).,,,"Il enfila une veste de chasse sur son chandail et chaussa des souliers de marche (Camus, L'Exil et le royaume,1957, p. 1620):","Les superbes magasins ou le chausseur de high-life étale ses chefs-d'œuvre de cordonnerie féminine (J. Richepin, Le Pavé,1883, p. 121).",,,\ʃo.se\,,//upload.wikimedia.org/wikipedia/commons/transcoded/6/65/Fr-chausser.ogg/Fr-chausser.ogg.mp3
horripilant,"HORRIPILANT, -ANTE,",,,,part. prés. et adj.,,,,Qui provoque l'horripilation; qui donne la chair de poule.,,,,"Malgré une température de trente degrés et toutes sortes d'histoires horripilantes sur les factieux et les rateros, nous nous mîmes bravement en route pour Tolède, la ville des belles épées et des dagues romantiques (Gautier, Tra los montes,1843, p. 136).",,,,\ɔ.ʁi.pi.lɑ̃\,,
entreprenant,"ENTREPRENANT, ANTE,",,,,part. prés. et adj.,,,,"Qui est actif, qui fait preuve de dynamisme, d'audace.",,,,"Rien n'est plus rare qu'un courage actif et entreprenant (Sénac de Meilhan, Émigré,1797, p. 1692).",,,,\ɑ̃.tʁǝ.pʁǝ.nɑ̃\,,//upload.wikimedia.org/wikipedia/commons/transcoded/8/81/LL-Q150_%28fra%29-DenisdeShawi-entreprenant.wav/LL-Q150_%28fra%29-DenisdeShawi-entreprenant.wav.mp3
claudicant,"CLAUDICANT, ANTE,",,,,adj.,,,,"Qui boite, qui révèle une claudication.",,,,"Félix (...) avait mis un mois à se remettre de sa blessure qui le laissait claudicant pour la vie (P. Vialar, Les 4 Zingari,1959, p. 146).",,,,\klɔ.di.kɑ̃\,,
agrume,"AGRUME,",,,,subst. masc.,,,,"Nom générique désignant les fruits du genre citrus (les citrons, les oranges, les mandarines, les pamplemousses, ...) :",,,,"1. Dans cette partie méridionale de la région méditerranéenne, le niveau supérieur des cultures de plantations s'élève de plus en plus. Les agrumes remontent jusqu'à 700 mètres dans le bassin de Grenade.
P. Vidal de La Blache, Principes de géographie humaine,1921, p. 92.",,,,\a.ɡʁym\,//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/NIH_citrus.jpg/220px-NIH_citrus.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/4/4d/LL-Q150_%28fra%29-WikiLucas00-agrume.wav/LL-Q150_%28fra%29-WikiLucas00-agrume.wav.mp3
avéré,"AVÉRER,",,,,verbe trans.,,,,"Reconnaître la vérité d'une chose; savoir, comprendre quelque chose avec exactitude :",,,,"1. Il [Leroux] s'est mis à endoctriner des femmes et des ouvriers, à avoir des dévotes et des séides. Tous moyens lui sont devenus bons... Dès que j'ai eu bien avéré ce point, il n'a plus été pour moi qu'un charlatan...
Sainte-Beuve, Les Cahiers,1869, p. 46.",,,,\a.ve.ʁe\,,//upload.wikimedia.org/wikipedia/commons/transcoded/5/5a/LL-Q150_%28fra%29-0x010C-av%C3%A9r%C3%A9.wav/LL-Q150_%28fra%29-0x010C-av%C3%A9r%C3%A9.wav.mp3
éduqué,"ÉDUQUER,",,,,verbe trans.,,,,"Donner à quelqu'un, spécialement à un enfant ou à un adolescent, tous les soins nécessaires à la formation et à l'épanouissement de sa personnalité.",,,,"Il fallait l'éduquer le môme (Arnoux, Crimes innoc.,1952, p. 262):",,,,\e.dy.ke\,,
moustiquaire,"MOUSTIQUAIRE,",,,,subst. fém.,,,,"Rideau (de gaze, de mousseline ou de tulle) dont on entoure les lits pour se préserver des piqûres de moustiques.",,,,"Les fenêtres, ouvertes à la brise, laissaient pénétrer dans la dunette un courant d'air vif et frais qui soulevait de jolis rideaux de toile de Perse, et une vaste moustiquaire dont les plis légers entouraient un lit suspendu (Sue, Atar-Gull,1831, p. 2).",,,,\mus.ti.kɛʁ\,//upload.wikimedia.org/wikipedia/commons/thumb/7/73/Mosquito_Netting.jpg/220px-Mosquito_Netting.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/3/33/LL-Q150_%28fra%29-DSwissK-moustiquaire.wav/LL-Q150_%28fra%29-DSwissK-moustiquaire.wav.mp3
tapant,"TAPANT, -ANTE,",,,,part. prés. et adj.,,,,Au moment précis où l'heure sonne.,,,,"Moi, j'arrive à onze heures tapantes. Je vous surprends (Bourget, Physiol. amour mod., 1890, p. 196).",,,,\ta.pɑ̃\,,
quand,"QUAND,","Quand est-ce,",,,adv. et conj.,"subst. masc.,",,,"Adv. interr. interrogeant sur le moment (passé, présent ou à venir) ou la période (heure, jour, date, époque...) où se situe une action ou un état.",Tournée de bienvenue offerte par un nouveau à ses collègues.,,,"Quand la jeune fille lui apparut-elle? (Barrès, Barbares, 1888, p. 87).","Les nouveaux venus payant leur « quand est-ce », les stations dans les assommoirs (...). Jack ne se mêlait à rien (A. Daudet, Jack, t. 2, 1876, p. 220).",,,\kɑ̃\,,//upload.wikimedia.org/wikipedia/commons/transcoded/1/12/Fr-Quand.oga/Fr-Quand.oga.mp3
épinglé,"ÉPINGLER,",,,,verbe trans.,,,,"Attacher, retenir avec une/ des épingle(s).",,,,"Les hommes jettent leurs vestes, les femmes épinglent leurs robes (Pesquidoux, Chez nous,1921, p. 134).",,,,\e.pɛ̃.gle\,,//upload.wikimedia.org/wikipedia/commons/transcoded/6/67/LL-Q150_%28fra%29-LoquaxFR-%C3%A9pingl%C3%A9.wav/LL-Q150_%28fra%29-LoquaxFR-%C3%A9pingl%C3%A9.wav.mp3
fureter,"FURETER,",,,,verbe.,,,,Se livrer à la chasse dans (un lieu) avec un furet.,,,,"Il faut éviter de fureter un terrier dans lequel se réfugie un lapin qui vient d'être tiré (Vidron, Chasse,1945, p. 53).",,,,\fyʁ.te\,,//upload.wikimedia.org/wikipedia/commons/transcoded/f/ff/LL-Q150_%28fra%29-Lyoko%C3%AF-fureter.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-fureter.wav.mp3
bilboquet,"BILBOQUET,",,,,subst. masc.,,,,"Jouet composé d'une boule percée d'un trou, reliée par un cordon à un bâtonnet concave à l'une de ses extrémités, pointu à l'autre, où elle doit s'encastrer, en retombant après qu'on l'a jetée en l'air.  P. ext. le jeu pratiqué à l'aide du bilboquet.",,,,"1. Il s'amuse tout seul... Il agite, il balance un bilboquet! Un gros! un colosse! Il essaye de l'enfiler... Il loupe le coup, il rigole...
Céline, Mort à crédit,1936, p. 309.",,,,\bil.bɔ.kɛ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/8/80/LL-Q150_%28fra%29-Lepticed7-bilboquet.wav/LL-Q150_%28fra%29-Lepticed7-bilboquet.wav.mp3
longiligne,"LONGILIGNE,",,,,adj.,,,,Qui a la taille élevée et les membres longs et minces.,,,,"Ces beaux bœufs gascons, de la plus pure race auréolée, à robe gris d'argent, longilignes et massifs à la fois, étaient l'amour de son père (Pesquidoux, Livre raison,1928, p. 99).",,,,\lɔ̃.ʒi.liɲ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/4/49/Fr-Paris--longiligne.ogg/Fr-Paris--longiligne.ogg.mp3
récidive,"RÉCIDIVE,","Récidivisme,","Récidivité,",,subst. fém.,subst. masc.,subst. fém.,,Réapparition d'une affection (surtout infectieuse) plus ou moins longtemps après sa guérison.,Tendance à la récidive.,",,S'est dit en parlant de certaines tumeurs pour désigner le fait de leur récidive, considéré comme une qualité qui leur serait inhérente`` (Littré-Robbin 1865).",,"Il n'était pas guéri, et les fièvres intermittentes sont sujettes à de fréquentes et dangereuses récidives (Verne,Île myst., 1874, p. 510).",Le récidivisme (...) pose le problème de la persistance dans l'adoption d'un comportement antisocial (...) [et] celui de l'inefficacité des mesures prises lors de la première infraction (Yam.-Kell.1970).,"Les législations modernes ont envisagé le problème [de la récidive] sous l'angle de la récidivité, c'est-à-dire de la tendance à délinquer en tant qu'elle entraîne un danger social particulier, et du récidivisme, c'est-à-dire de cette même tendance en tant qu'elle correspond à certaines caractéristiques de l'homme délinquant contre lesquelles il convient d'agir (Yam.-Kell.1970).",,\ʁe.si.div\,,//upload.wikimedia.org/wikipedia/commons/transcoded/3/3a/LL-Q150_%28fra%29-Pamputt-r%C3%A9cidive.wav/LL-Q150_%28fra%29-Pamputt-r%C3%A9cidive.wav.mp3
vouloir,"VOULOIR1,","Vouleur,","Vouloir-,",Vouloir-vivre.,verbe trans.,"subst. masc.,",élém. de compos.,-,"Avoir la ferme intention, le souhait, le désir de.",Ensemble des désirs subconscients qui constituent le fond de l'individualité et qui est à l'origine de la reproduction des individus et de la continuité de l'espèce (d'apr. Julia 1984).,Ensemble des désirs subconscients qui constituent le fond de l'individualité et qui est à l'origine de la reproduction des individus et de la continuité de l'espèce (d'apr. Julia 1984).,Ensemble des désirs subconscients qui constituent le fond de l'individualité et qui est à l'origine de la reproduction des individus et de la continuité de l'espèce (d'apr. Julia 1984).,"Il ne suffit pas toujours de vouloir pour être heureux (Lemaitre, Contemp., 1885, p. 210).","Ce vouleur terrible, ce travailleur à outrance, se bat nuit et jour avec une créature qui est sa compagne de foyer et de lit! (Vallès, J. Vingtras, Insurgé, 1885, p. 300).","Antoine (...) expliquait (...) la difficulté d'extraire le projectile (...): « Oubliez ce pistolet!... Laissez, laissez la balle!... C'est le vouloir-vivre... qu'il faut... resurexciter! » (Martin du G., Thib., Été 14, 1936, p. 196).","Antoine (...) expliquait (...) la difficulté d'extraire le projectile (...): « Oubliez ce pistolet!... Laissez, laissez la balle!... C'est le vouloir-vivre... qu'il faut... resurexciter! » (Martin du G., Thib., Été 14, 1936, p. 196).",\vu.lwaʁ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/f/ff/Fr-vouloir.ogg/Fr-vouloir.ogg.mp3
exaucer,"EXAUCER,",,,,verbe trans.,,,,Accorder (à quelqu'un) ce qu'il a demandé.,,,,"Vous, mon Dieu, exaucez-nous beaucoup! Exaucez-nous au delà de nos désirs! (Lamart., Voy. Orient,t. 1, 1835, p. 36).",,,,\ɛ.ɡzo.se\,,//upload.wikimedia.org/wikipedia/commons/transcoded/6/63/Fr-exaucer.ogg/Fr-exaucer.ogg.mp3
déguerpir,"DÉGUERPIR,","Déguerpissement,",,,verbe.,subst. masc.,,,",,Abandonner la possession d'un bien`` (Ac. 1798-1878).",",,Abandon de la propriété ou de la possession d'un immeuble pour se soustraire aux charges foncières qui le grèvent`` (Cap. 1936).",,,"Un ouvrier qu'elle logeait a déguerpi sans la payer (Amiel, Journal,1866, p. 149):",,,,\de.ɡɛʁ.piʁ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/5/5a/LL-Q150_%28fra%29-Lepticed7-d%C3%A9guerpir.wav/LL-Q150_%28fra%29-Lepticed7-d%C3%A9guerpir.wav.mp3
prestidigitateur,"PRESTIDIGITATEUR, -TRICE,",,,,subst.,,,,"Artiste qui, par des manipulations, des truquages, produit des illusions, en faisant disparaître, apparaître, changer de place ou d'aspect certains objets.",,,,"Avec des précautions de prestidigitateur, il avait progressivement desserré les doigts et fait un petit saut en arrière, laissant libres les membres de l'enfant, qui s'étendirent, dociles, sur le lit (Martin du G.,Thib., Cah. gr., 1922, p.614).",,,,\pʁɛs.ti.di.ʒi.ta.tœʁ\,,
délétère,"DÉLÉTÈRE,",,,,adj.,,,,"Qui attaque, détruit la santé, qui met la vie en danger.",,,,"Plantes délétères, sucs délétères (Ac.1798-1932).",,,,\de.le.tɛʁ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/0/06/LL-Q150_%28fra%29-0x010C-d%C3%A9l%C3%A9t%C3%A8re.wav/LL-Q150_%28fra%29-0x010C-d%C3%A9l%C3%A9t%C3%A8re.wav.mp3
perquisitionner,"PERQUISITIONNER,","Perquisitionné, -ée,",,,verbe,subst.,,,Faire une perquisition.,Personne qui est l'objet d'une ou de perquisition(s).,,,"On a perquisitionné ignoblement chez le nonce du Pape expulsé le jour même et reconduit à la frontière (Bloy, Journal,1906, p.328).","La loi pourtant a sa raison d'être, en exigeant la présence du perquisitionné, car elle veut que nul n'ait le droit de soupçonner qu'on a introduit des papiers, ou qu'on en a pris, dans les caisses saisies (Clemenceau, Iniquité,1899p.43).",,,\pɛʁ.ki.zi.sjɔ.ne\,,//upload.wikimedia.org/wikipedia/commons/transcoded/5/50/LL-Q150_%28fra%29-Lyoko%C3%AF-perquisitionner.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-perquisitionner.wav.mp3
postillonnant,"POSTILLONNER,","Postillonnade,","Postillonnage,","Postillonnant, -ante,",verbe intrans.,"subst. fém.,","subst. masc.,",part. prés. en empl. adj.,Envoyer des postillons en parlant.,Qui s'accompagne de postillons.,Qui s'accompagne de postillons.,Qui s'accompagne de postillons.,"C'était un gros vieux homme ardent, essoufflé, qui rougeoyait comme une forge, qui bredouillait, sifflait et postillonnait en parlant (Gide, Si le grain, 1924, p.457).","Le speech du maire, l'homélie de l'évêque, le compliment des enfants des écoles, le laïus du chef de la branche aînée, à nous, on ne nous en fit pas grâce. Enfin, après trois heures de postillonnades (...) (H. Bazin, Vipère, 1948, p.238).","L'accès de mépris jovial s'achevait peu à peu en gloussement (...) postillonnages d'amplitude et de jet décroissants (Arnoux, Visite Mathus., 1961, p.165).","Ferdinand se prodiguait en colères postillonnantes (Duhamel, Terre promise, 1934, p.122).",\pɔs.ti.jɔ.nɑ̃\,,
enseveli,"ENSEVELIR,",,,,verbe trans.,,,,Envelopper (un cadavre) dans un linceul.,,,,"Parions que vous n'avez pas chez vous un drap pour l'ensevelir? C'est pitié de voir ici comme ils font la toilette des morts (Bernanos, Mouchette,1937, p. 1332).",,,,\ɑ̃.səv.li\,,
œil-de-bœuf,"OEIL(-)DE(-)BOEUF,(OEIL DE BOEUF, OEIL-DE-BOEUF)",,,,subst. masc.,,,,"Lucarne, fenêtre ronde ou ovale pratiquée dans la partie supérieure d'un édifice ou dans un mur.",,,,"L'escalier se développait derrière de manière à laisser pour cette chambre un petit cabinet éclairé par un oeil-de-boeuf sur la cour (Balzac, U. Mirouët, 1841, p.140).",,,,\œj.də.bœf\,//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Berlin_St_Gertraudt_Stiftung_AS_1_Detail.jpg/220px-Berlin_St_Gertraudt_Stiftung_AS_1_Detail.jpg,
embonpoint,"EMBONPOINT,",,,,subst. masc.,,,,Bon état ou bonne habitude du corps.,,,,"Un gros homme, inconnu d'Alban, mais dont l'embonpoint était plein d'autorité, faisait signe à Esparraguera de rentrer (Montherl., Bestiaires,1926, p. 554).",,,,\ɑ̃.bɔ̃.pwɛ̃\,,//upload.wikimedia.org/wikipedia/commons/transcoded/6/62/LL-Q1860_%28eng%29-Vealhurl-embonpoint.wav/LL-Q1860_%28eng%29-Vealhurl-embonpoint.wav.mp3
octroyer,"OCTROYER,","Octroyé, -ée,","Octroiement,","Octroyeur,",verbe trans.,part. passé en emploi adj.,subst. masc.,subst. masc.,"Accorder (quelque chose à quelqu'un) généralement comme une faveur, parfois avec une certaine condescendance.","Accordé par un simple particulier, généralement comme une faveur.","Action, fait d'octroyer.",Celui qui octroie.,"Il me supplie de lui octroyer cette faveur [un déjeuner]. J'ai accepté (...) pour n'avoir pas l'air d'un poseur (concession qui produit beaucoup de sottises) (Flaub.,Corresp.,1877, p.104).","Le lendemain, son accueil exprima la plénitude des sentiments octroyés (Balzac,Lys,1836, p.76).","L'octroiement des Provinces-Unies au prince Louis (Chateaubr.,Mém.,t.2, 1848, p.380).","Une place de censeur littéraire, (...) d'octroyeur d'estampille aux bons ouvrages moraux en faveur de la famille, de la religion, de l'ordre (Goncourt,Journal,1878, p.416).",\ɔk.tʁwa.je\,,//upload.wikimedia.org/wikipedia/commons/transcoded/9/96/LL-Q150_%28fra%29-Lyoko%C3%AF-octroyer.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-octroyer.wav.mp3
apprivoiser,"APPRIVOISER,",,,,verbe trans.,,,,"Rendre moins sauvage, moins farouche :",,,,"1. D'ailleurs, est-on jamais seul au monde? Ne peut-on choisir des amis dans la race animale, apprivoiser un jeune chevreau, un perroquet éloquent, un singe aimable?
Verne, Les Enfants du capitaine Grant,t. 2, 1868, p. 29.",,,,\a.pʁi.vwa.ze\,,//upload.wikimedia.org/wikipedia/commons/transcoded/8/8d/Fr-apprivoiser.ogg/Fr-apprivoiser.ogg.mp3
traînée,"TRAÎNÉE,",,,,subst. fém.,,,,"Chose qui s'étire, qui glisse sur une certaine longueur.",,,,"L'espion avait (...) deux larmes au bas de ses joues réunies par deux traînées humides (Balzac, Splend. et mis., 1844, p. 306).",,,,\tʁe.ne\,,//upload.wikimedia.org/wikipedia/commons/transcoded/1/10/LL-Q150_%28fra%29-Lepticed7-tra%C3%AEn%C3%A9e.wav/LL-Q150_%28fra%29-Lepticed7-tra%C3%AEn%C3%A9e.wav.mp3
éclosion,"ÉCLOSION,",,,,subst. fém.,,,,Fait d'éclore.,,,,"Éclosion de la chrysalide après la mue (Saint-Exup., Citad.,1944, p. 983):",,,,\e.klɔ.zjɔ̃\,,//upload.wikimedia.org/wikipedia/commons/transcoded/a/a3/LL-Q150_%28fra%29-DenisdeShawi-%C3%A9closion.wav/LL-Q150_%28fra%29-DenisdeShawi-%C3%A9closion.wav.mp3
